"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32"
"1655","","finals","","scores","eight","points","minutes","thunder","","","","","","","","","","","","","","","","","","","","","","","",""
"1656","","finals","","scores","eight","points","minutes","thunder","","","","","","","","","","","","","","","","","","","","","","","",""
"1657","","finals","","scores","eight","points","minutes","thunder","","","","","","","","","","","","","","","","","","","","","","","",""
"1658","","finals","","scores","eight","points","minutes","thunder","","","","","","","","","","","","","","","","","","","","","","","",""
"1659","","games","lettin","niggas","talk","like","mahomes","","league","","ring","season","imma","need","goofy","","niggas","","","twitter","agendas","","","","","","","","","","",""
"1660","","finals","","scores","eight","points","minutes","thunder","","","ppqjuzesbu","","","","","","","","","","","","","","","","","","","","",""
"1661","","finals","","scores","eight","points","minutes","thunder","","","gvobbqwwmi","","","","","","","","","","","","","","","","","","","","",""
"1662","","finals","","scores","eight","points","minutes","thunder","","","ezygtjdrck","","","","","","","","","","","","","","","","","","","","",""
"1663","anthony","davis","","finals","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1664","nikola","jokic","currently","leading","","","","","","vorp","betting","favorite","","","","lowest","drafted","player","","","history","current","record","","held","nash","giannis","","","","",""
"1665","","sports","history","october","","angeles","lakers","defeated","miami","heat","games","","","","lebron","james","named","","finals","","","","","","","","","","","","",""
"1666","","contender","already","books","dubnation","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1667","","really","","honestly","never","seen","nobody","come","back","injury","like","ball","glad","","paid","","","lamar","turn","","paid","deserve","mean","","","like","","","already","","",""
"1668","gpfdvlvpqb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1669","ratiobyrao","harden","doin","shit","still","","scoring","titles","","multiple","star","","first","team","","decade","first","team","","","baby","beal","wall","added","nothing","compared","lmfaoo","","","","",""
"1670","dakidgowie","though","","credible","enough","like","bron","","akron","","","cavs","","finals","","time","leading","scorer","","history","","","champ","","finals","","cmon","gowie","","watch","game",""
"1671","enjoy","black","greatness","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1672","","","","","single","year","","history","","","even","contention","","award","","","","","","","","","","","","","","","","","",""
"1673","","something","","curious","people","","","curry","winning","","luka","","good","enough","recor","","","","","","","","","","","","","","","","",""
"1674","sleeper","","awards","","paul","george","dpoy","","simmons","coty","nate","mcmillan","roty","josh","giddey","","lonzo","ball","jordan","poole","surprise","star","","","","","","","","","",""
"1675","just","minted","","punk","grandmama","larry","johnson","","draft","pick","","","power","forward","charlotte","hornets","","","knicks","filmed","series","original","commercials","grandmama","converse","early","","","","","",""
"1676","","kevinwildes","","","jennawolfe","watched","","","dpoy","","scoring","title","","","greatest","peak","","players","ever","","","","","","","","","","","","",""
"1677","","season","","","","commons","","","","uobndevnpt","","","","","","","","","","","","","","","","","","","","","",""
"1678","pretty","sure","dirk’s","highest","achievement","","finals","","","","tygahumyaf","","","","","","","","","","","","","","","","","","","","",""
"1679","tommybeer","","thinks","randle","","best","players","","judge","","","","take","","","","","","","","","","","","","","","","","","",""
"1680","","lebron","","league","vorp","","","league","","twice","","minutes","twice","","leader","","star","","allstar","","","","","player","week","roty","","finishes","","voting","lonzo","just"
"1681","league","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1682","","well","deserved","leader","","team","","real","","baseball","clutch","time","distress","","anybody","tell","different","","","ship","year","silence","doubters","","slimreaper","kdallday","","","","","",""
"1683","nike","zoom","freak","","first","look","colorway","celebrating","giannis","reigning","champs","","","","","bucks","","","","","","","","","","","","","","","",""
"1684","first","look","nike","zoom","freak","","celebrate","bucks","winning","","finals","last","season","","","","","","","","","","","","","","","","","","",""
"1685","","","finals","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1686","completely","unbiased","","award","predictions","","stephen","curry","","","roty","jalen","green","","cade","","tyler","herro","","clarkson","","jordan","poole","","","dpoy","rudy","gobert","","matisse","coty","monty"
"1687","williams","","nate","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1688","darkhorse","","every","","award","","paul","george","jayson","tatum","roty","jalen","johnson","nah’syon","bones","","derrick","rose","otto","porter","","","nickeil","","malik","beasley","dpoy","matisse","thybulle","","isaac","coty"
"1689","chauncey","billups","jason","kidd","champions","warriors","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1690","nawlooz","","","totally","unbiased","opinion","","stephen","curry","sixman","jordan","poole","dpoy","draymond","green","roty","","jonothan","kuminga","moses","moody","","james","wiseman","","chip","golden","state","warriors","finals","","stephen"
"1691","curry","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1692","","award","predictions","kevin","durant","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1693","thepokeraf","what’s","also","funny","","","actually","said","favorite","show","pokemon","","","","","","","","","","","","","","","","","","","","",""
"1694","","","","champion","","finals","","","nbaallstar","iron","","showing","still","moves","dallasmavs","talent","horizon","hard","forget","sharp","shooting","","fella","nbatwitter","","","","","","","",""
"1695","honoring","","lane","","","","flashes","signature","smile","klaw","looks","build","resume","laclippers","","","champion","","finals","","","nbaallstar","","defensive","player","year","nbatwitter","","","","",""
"1696","known","passion","swag","","","","scoring","champ","","nbaallstar","triple","double","specialist","","athletic","","nbatwitter","","","","","","","","","","","","","","",""
